Polymer Number,Reaction number,Polymer solubility in dichloro methane at a concentration of 40 mg/mL at room temperature,Physical state of the polymer determined by visual observation and polarized microscope analysis,Degradable,Monomer 1,Monomer 1 SMILES,Monomer 2,Monomer 2 SMILES,SMILES,Mn (kDa),Mw (kDa),D,"Monomer 1:
Monomer 2 (mole basis)",BigSMILES,Method Key
70,70,no,solid,no,Succinyl Chloride,[Cl]C(=O)CCC(=O)[Cl],"2,7-
Naphthalenediol",Oc1cc2c(cc1)ccc(c2)O,C(=O)CCC(=O)Oc1cc2c(cc1)ccc(c2)O,,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]Oc1cc2c(cc1)ccc(c 2)O[>][]}",M32
71,71,no,solid,no,Sebacoyl Chloride,[Cl]C(=O)CCCCCCCCC(=O)[Cl],"Naphthalene-1,5- diol",Oc1c(ccc2)c(ccc1)c2O,C(=O)CCCCCCCCC(=O)Oc1c(ccc2)c(ccc1)c2O,,,,1:01,"{[][<]C(=O)CCCCCCCCC(=O)[<],[>]Oc1c(ccc 2)c(ccc1)c2O[>][]}",M32
72,72,yes,crystalline,no,Succinyl Chloride,[Cl]C(=O)CCC(=O)[Cl],2-Hydroxyethyl disulfide,OCCSSCCO,C(=O)CCC(=O)OCCSSCCO,,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]OCCSSCCO[>][]}",M32
73,73,yes,crystalline,yes,Isophthaloyl Chloride,[Cl]C(=O)c(ccc1)cc1C(=O)[Cl],Bisphenol A,Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,C(=O)c(ccc1)cc1C(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,,,,1:01,"{[][<]C(=O)c(ccc1)cc1C(=O)[<],[>]Oc1ccc(cc1
)C(C)(C)c2ccc(cc2)O[>][]}",M32
74,74,no,solid,yes,Isophthaloyl Chloride,[Cl]C(=O)c(ccc1)cc1C(=O)[Cl],"1,3-Bis[2-(4-
hydroxyphenyl)- 2-propyl]benzene",Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O,C(=O)c(ccc1)cc1C(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O,,,,1:01,"{[][<]C(=O)c(ccc1)cc1C(=O)[<],[>]Oc1ccc(cc1
)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O[>][]}",M32
75,75,no,solid,yes,Isophthaloyl Chloride,[Cl]C(=O)c(ccc1)cc1C(=O)[Cl],"4,4_-(alpha- Methylbenzylidene)bisphenol",Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O,C(=O)c(ccc1)cc1C(=O)Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O,,,,1:01,"{[][<]C(=O)c(ccc1)cc1C(=O)[<],[>]Oc1ccc(cc1
)C(C)(c2ccccc2)c3ccc(cc3)O[>][]}",M32
76,76,no,solid,yes,Isophthaloyl Chloride,[Cl]C(=O)c(ccc1)cc1C(=O)[Cl],Bis(4-hydroxyphenyl) Sulfone,Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O,C(=O)c(ccc1)cc1C(=O)Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O,,,,1:01,"{[][<]C(=O)c(ccc1)cc1C(=O)[<],[>]Oc1ccc(cc1
)S(=O)(=O)c2ccc(cc2)O[>][]}",M32
77,77,no,solid,yes,Isophthaloyl Chloride,[Cl]C(=O)c(ccc1)cc1C(=O)[Cl],"4,4' - Cycloehexylidenebisphenol","Oc1ccc(C2(c3ccc(O)cc3)CCCCC2)cc1

",C(=O)c(ccc3)cc3C(=O)Oc1ccc(C2(c3ccc(O)cc3)CCCCC2)cc1,,,,1:01,"{[][<]C(=O)c(ccc1)cc1C(=O)[<],[>]Oc1ccc(cc1
)C2(CCCCC2)c3cc(cc3)O[>][]}",M32
78,78,no,solid,yes,Isophthaloyl Chloride,[Cl]C(=O)c(ccc1)cc1C(=O)[Cl],"4,4_-Isopropylidenebis (2,6-dimethylphenol)",Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O,C(=O)c(ccc1)cc1C(=O)Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O,,,,1:01,"{[][<]C(=O)c(ccc1)cc1C(=O)[<],[>]Oc1c(C)cc(
cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O[>][]}",M32
79,79,no,solid,no,Sebacoyl Chloride,[Cl]C(=O)CCCCCCCCC(=O)[Cl],"2,7-
Naphthalenediol",Oc1cc2c(cc1)ccc(c2)O,C(=O)CCCCCCCCC(=O)Oc1cc2c(cc1)ccc(c2)O,,,,1:01,"{[][<]C(=O)CCCCCCCCC(=O)[<],[>]Oc1cc2c(
cc1)ccc(c2)O[>][]}",M32
80,80,no,solid,yes,Isophthaloyl Chloride,[Cl]C(=O)c(ccc1)cc1C(=O)[Cl],"4,4_-Thiodiphenol",Oc1ccc(cc1)Sc2ccc(cc2)O,C(=O)c(ccc1)cc1C(=O)Oc1ccc(cc1)Sc2ccc(cc2)O,,,,1:01,"{[][<]C(=O)c(ccc1)cc1C(=O)[<],[>]Oc1ccc(cc1
)Sc2ccc(cc2)O[>][]}",M32
81,81,no,solid,yes,Isophthaloyl Chloride,[Cl]C(=O)c(ccc1)cc1C(=O)[Cl],"4,4_-Sulfonylbis(2-methylphenol)",Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O,C(=O)c(ccc1)cc1C(=O)Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O,,,,1:01,"{[][<]C(=O)c(ccc1)cc1C(=O)[<],[>]Oc1c(C)cc(
cc1)S(=O)(=O)c2ccc(c(C)c2)O[>][]}",M32
82,82,no,solid,yes,Isophthaloyl Chloride,[Cl]C(=O)c(ccc1)cc1C(=O)[Cl],"(R)-(+)-1,1_-
Binaphthyl-2,2_- diol",Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O,C(=O)c(ccc1)cc1C(=O)Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O,,,,1:01,"{[][<]C(=O)c(ccc1)cc1C(=O)[<],[>]Oc1ccc(ccc c2)c2c1c3c(cccc4)c4ccc3O[>][]}",M32
83,83,no,solid,yes,Sebacoyl Chloride,[Cl]C(=O)CCCCCCCCC(=O)[Cl],"2-Butyne-1,4-diol",OCC#CCO,C(=O)CCCCCCCCC(=O)OCC#CCO,,,,1:01,"{[][<]C(=O)CCCCCCCCC(=O)[<],[>]OCC#CC O[>][]}",M32
84,84,yes,crystalline,yes,Isophthaloyl Chloride,[Cl]C(=O)c(ccc1)cc1C(=O)[Cl],"1,2:5,6-Dianhydro-d-glucitol",OC(C1CO1)C(C2CO2)O,C(=O)c(ccc1)cc1C(=O)OC(C1CO1)C(C2CO2)O,,,,1:01,"{[][<]C(=O)c(ccc1)cc1C(=O)[<],[>]OC(C1CO1
)C(C2CO2)O[>][]}",M32
85,85,no,fluid,yes,Isophthaloyl Chloride,[Cl]C(=O)c(ccc1)cc1C(=O)[Cl],"cis-2-Butene-1,4- diol",OC/C=C\CO,C(=O)c(ccc1)cc1C(=O)OC/C=C/CO,,,,1:01,"{[][<]C(=O)c(ccc1)cc1C(=O)[<],[>]OC/C=C/C O[>][]}",M32
86,86,no,solid,yes,Isophthaloyl Chloride,[Cl]C(=O)c(ccc1)cc1C(=O)[Cl],Resorcinol,Oc1cccc(c1)O,C(=O)c(ccc1)cc1C(=O)Oc1cccc(c1)O,,,,1:01,"{[][<]C(=O)c(ccc1)cc1C(=O)[<],[>]Oc1cccc(c1
)O[>][]}",M32
87,87,no,solid,no,Isophthaloyl Chloride,[Cl]C(=O)c(ccc1)cc1C(=O)[Cl],"Naphthalene-1,5- diol",Oc1c(ccc2)c(ccc1)c2O,C(=O)c(ccc1)cc1C(=O)Oc1c(ccc2)c(ccc1)c2O,,,,1:01,"{[][<]C(=O)c(ccc1)cc1C(=O)[<],[>]Oc1c(ccc2)
c(ccc1)c2O[>][]}",M32
88,88,no,solid,no,Isophthaloyl Chloride,[Cl]C(=O)c(ccc1)cc1C(=O)[Cl],"2,7-
Naphthalenediol",Oc1cc2c(cc1)ccc(c2)O,C(=O)c(ccc1)cc1C(=O)Oc1cc2c(cc1)ccc(c2)O,,,,1:01,"{[][<]C(=O)c(ccc1)cc1C(=O)[<],[>]Oc1cc2c(cc 1)ccc(c2)O[>][]}",M32
89,89,no,solid,no,Terephthaloyl chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"3-methyl-1,5- pentanediol",OCCC(C)CCO,C(=O)c1ccc(cc1)C(=O)OCCC(C)CCO,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OCCC(C)C CO[>][]}",M32
90,90,yes,fluid,no,Sebacoyl Chloride,[Cl]C(=O)CCCCCCCCC(=O)[Cl],"1,3-Bis[2-(4-
hydroxyphenyl)- 2-propyl]benzene",Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O,C(=O)CCCCCCCCC(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O,5.66,6.68,1.18,1:01,"{[][<]C(=O)CCCCCCCCC(=O)[<],[>]Oc1ccc(c
c1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O[>] []}",M32
91,91,no,solid,no,Adipoyl Chloride,[Cl]C(=O)CCCCC(=O)[Cl],"Naphthalene-1,5- diol",Oc1c(ccc2)c(ccc1)c2O,C(=O)CCCCC(=O)Oc1c(ccc2)c(ccc1)c2O,,,,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]Oc1c(ccc2)c(cc c1)c2O[>][]}",M32
92,92,no,solid,no,Adipoyl Chloride,[Cl]C(=O)CCCCC(=O)[Cl],"2,7-
Naphthalenediol",Oc1cc2c(cc1)ccc(c2)O,C(=O)CCCCC(=O)Oc1cc2c(cc1)ccc(c2)O,,,,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]Oc1cc2c(cc1)cc c(c2)O[>][]}",M32
93,93,yes,fluid,no,Adipoyl Chloride,[Cl]C(=O)CCCCC(=O)[Cl],Guaiacol glyceryl ether,OCC(COC(CCCC1)C1OC)O,C(=O)CCCCC(=O)OCC(COC(CCCC1)C1OC)O,6.08,7.65,1.26,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]OCC(COC(CC CC1)C1OC)O[>][]}",M32
94,94,no,solid,no,Adipoyl Chloride,[Cl]C(=O)CCCCC(=O)[Cl],Bis(4-hydroxyphenyl) Sulfone,Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O,C(=O)CCCCC(=O)Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O,,,,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]Oc1ccc(cc1)S(
=O)(=O)c2ccc(cc2)O[>][]}",M32
95,95,yes,fluid,no,Sebacoyl Chloride,[Cl]C(=O)CCCCCCCCC(=O)[Cl],"4,4_-(alpha- Methylbenzylidene)bisphenol",Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O,C(=O)CCCCCCCCC(=O)Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O,4.69,5.49,1.17,1:01,"{[][<]C(=O)CCCCCCCCC(=O)[<],[>]Oc1ccc(c
c1)C(C)(c2ccccc2)c3ccc(cc3)O[>][]}",M32
96,96,no,solid,yes,Isophthaloyl Chloride,[Cl]C(=O)c(ccc1)cc1C(=O)[Cl],"2,5-dimethyl-3- hexyne-2,5-diol",OC(C)(C)C#CC(C)(C)O,C(=O)c(ccc1)cc1C(=O)OC(C)(C)C#CC(C)(C)O,,,,1:01,"{[][<]C(=O)c(ccc1)cc1C(=O)[<],[>]OC(C)(C)C #CC(C)(C)O[>][]}",M32
97,97,no,solid,yes,Sebacoyl Chloride,[Cl]C(=O)CCCCCCCCC(=O)[Cl],"2,5-dimethyl-3- hexyne-2,5-diol",OC(C)(C)C#CC(C)(C)O,C(=O)CCCCCCCCC(=O)OC(C)(C)C#CC(C)(C)O,,,,1:01,"{[][<]C(=O)CCCCCCCCC(=O)[<],[>]OC(C)(C
)C#CC(C)(C)O[>][]}",M32
98,98,no,solid,no,Adipoyl Chloride,[Cl]C(=O)CCCCC(=O)[Cl],"2,2_-
Thiodiethanol",OCCSCCO,"C(=O)CCCCC(=O)OCCSCCO
",,,,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]OCCSCCO[>][]
}",M32
99,99,no,solid,yes,Adipoyl Chloride,[Cl]C(=O)CCCCC(=O)[Cl],"1,4-dithiane-2,5- diol",OC(CS1)SCC1O,C(=O)CCCCC(=O)OC(CS1)SCC1O,,,,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]OC(CS1)SCC1 O[>][]}",M32
100,100,no,solid,yes,Adipoyl Chloride,[Cl]C(=O)CCCCC(=O)[Cl],"cis-2-Butene-1,4- diol",OC/C=C\CO,"C(=O)CCCCC(=O)OC/C=C/CO
",,,,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]OC/C=C/CO[>][
]}",M32
101,101,no,solid,no,Adipoyl Chloride,[Cl]C(=O)CCCCC(=O)[Cl],Resorcinol,Oc1cccc(c1)O,"C(=O)CCCCC(=O)Oc1cccc(c1)O
",,,,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]Oc1cccc(c1)O[
>][]}",M32
102,102,yes,fluid,yes,Adipoyl Chloride,[Cl]C(=O)CCCCC(=O)[Cl],"Biphenyl-2,2_-diol",Oc(cccc1)c1c2c(cccc2)O,C(=O)CCCCC(=O)Oc(cccc1)c1c2c(cccc2)O,9.56,14.04,1.47,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]Oc(cccc1)c1c2c (cccc2)O[>][]}",M32
103,103,no,solid,yes,Malonyl Chloride,[Cl]C(=O)CC(=O)[Cl],Bis(4-hydroxyphenyl) Sulfone,Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O,C(=O)CC(=O)Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O,,,,1:01,"{[][<]C(=O)CC(=O)[<],[>]Oc1ccc(cc1)S(=O)(=
O)c2ccc(cc2)O[>][]}",M32
104,104,yes,glassy,yes,Sebacoyl Chloride,[Cl]C(=O)CCCCCCCCC(=O)[Cl],"4,4_-(9-Fluorenylidene)diphenol",C1(c4ccc(O)cc4)(c5ccc(O)cc5)c2ccccc2c3ccccc31,"C1(c4ccc(OC(=O)CCCCCCCCC(=O))cc4)(c5ccc(O)cc5)c2ccccc2c3ccccc31
",4.88,5.79,1.19,1:01,"{[][<]C(=O)CCCCCCCCC(=O)[<],[>]Oc1ccc(c
c1)C2(c3ccccc3c4c2ccccc4)c5ccc(cc5)O[>][]
}",M32
105,105,yes,crystalline,yes,Adipoyl Chloride,[Cl]C(=O)CCCCC(=O)[Cl],"4,4_-Sulfonylbis(2-methylphenol)",Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O,C(=O)CCCCC(=O)Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O,,,,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]Oc1c(C)cc(cc1)
S(=O)(=O)c2ccc(c(C)c2)O[>][]}",M32
106,106,no,solid,no,Adipoyl Chloride,[Cl]C(=O)CCCCC(=O)[Cl],Bisphenol A,Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,C(=O)CCCCC(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,9.42,14,1.49,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]Oc1ccc(cc1)C( C)(C)c2ccc(cc2)O[>][]}",M32
107,107,yes,crystalline,yes,Adipoyl Chloride,[Cl]C(=O)CCCCC(=O)[Cl],"1,3-Bis[2-(4-
hydroxyphenyl)- 2-propyl]benzene",Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O,C(=O)CCCCC(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O,,,,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]Oc1ccc(cc1)C(
C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O[>][]}",M32
108,108,no,solid,yes,Adipoyl Chloride,[Cl]C(=O)CCCCC(=O)[Cl],"4,4_-Isopropylidenebis (2,6-dimethylphenol)",Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O,C(=O)CCCCC(=O)Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O,,,,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]Oc1c(C)cc(cc1(
C))C(C)(C)c2cc(C)c(c(C)c2)O[>][]}",M32
109,109,no,solid,no,Adipoyl Chloride,[Cl]C(=O)CCCCC(=O)[Cl],"4,4_-(alpha- Methylbenzylidene)bisphenol",Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O,C(=O)CCCCC(=O)Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O,,,,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]Oc1ccc(cc1)C(
C)(c2ccccc2)c3ccc(cc3)O[>][]}",M32
110,110,no,solid,no,Adipoyl Chloride,[Cl]C(=O)CCCCC(=O)[Cl],"4,4' - Cycloehexylidenebisphenol","Oc1ccc(C2(c3ccc(O)cc3)CCCCC2)cc1

",Oc1ccc(C2(c3ccc(OC(=O)CCCCC(=O))cc3)CCCCC2)cc1,,,,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]Oc1ccc(cc1)C2 (CCCCC2)c3cc(cc3)O[>][]}",M32
111,111,no,solid,yes,Adipoyl Chloride,[Cl]C(=O)CCCCC(=O)[Cl],Bis(4-hydroxyphenyl) Sulfone,Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O,C(=O)CCCCC(=O)Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O,,,,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]Oc1ccc(cc1)S(
=O)(=O)c2ccc(cc2)O[>][]}",M32
112,112,yes,crystalline,no,Adipoyl Chloride,[Cl]C(=O)CCCCC(=O)[Cl],"2-Butyne-1,4-diol",OCC#CCO,C(=O)CCCCC(=O)OCC#CCO,8.64,9.54,1.1,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]OCC#CCO[>][]}",M32
113,113,yes,crystalline,yes,Adipoyl Chloride,[Cl]C(=O)CCCCC(=O)[Cl],"4,4_-Thiodiphenol",Oc1ccc(cc1)Sc2ccc(cc2)O,C(=O)CCCCC(=O)Oc1ccc(cc1)Sc2ccc(cc2)O,,,,1:01,"{[][<]C(=O)CCCCC(=O)[<],[>]Oc1ccc(cc1)Sc
2ccc(cc2)O[>][]}",M32
114,114,yes,fluid,no,Sebacoyl Chloride,[Cl]C(=O)CCCCCCCCC(=O)[Cl],"1,2:5,6-Dianhydro-d-glucitol",OC(C1CO1)C(C2CO2)O,C(=O)CCCCCCCCC(=O)OC(C1CO1)C(C2CO2)O,,,,1:01,"{[][<]C(=O)CCCCCCCCC(=O)[<],[>]OC(C1C O1)C(C2CO2)O[>][]}",M32
115,115,yes,crystalline,no,Sebacoyl Chloride,[Cl]C(=O)CCCCCCCCC(=O)[Cl],Guaiacol glyceryl ether,OCC(COC(CCCC1)C1OC)O,C(=O)CCCCCCCCC(=O)OCC(COC(CCCC1)C1OC)O,6.15,8.26,1.34,1:01,"{[][<]C(=O)CCCCCCCCC(=O)[<],[>]OCC(CO C(CCCC1)C1OC)O[>][]}",M32
116,116,no,solid,no,Sebacoyl Chloride,[Cl]C(=O)CCCCCCCCC(=O)[Cl],Bis(4-hydroxyphenyl) Sulfone,Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O,C(=O)CCCCCCCCC(=O)Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O,,,,1:01,"{[][<]C(=O)CCCCCCCCC(=O)[<],[>]Oc1ccc(c
c1)S(=O)(=O)c2ccc(cc2)O[>][]}",M32
117,117,no,solid,no,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],tripropylene glycol,OC(C)COC(C)COC(C)CO,C(=O)c1ccc(cc1)C(=O)OC(C)COC(C)COC(C)CO,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OC(C)COC (C)COC(C)CO[>][]}",M32
118,118,no,solid,no,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],Resorcinol,Oc1cccc(c1)O,C(=O)c1ccc(cc1)C(=O)Oc1cccc(c1)O,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]Oc1cccc(c1
)O[>][]}",M32
119,119,no,solid,no,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"Naphthalene-1,5- diol",Oc1c(ccc2)c(ccc1)c2O,"C(=O)c1ccc(cc1)C(=O)Oc1c(ccc2)c(ccc1)c2O
c(ccc1)c2O",,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]Oc1c(ccc2)
c(ccc1)c2O[>][]}",M32
120,120,no,solid,no,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"2,7-
Naphthalenediol",Oc1cc2c(cc1)ccc(c2)O,C(=O)c1ccc(cc1)C(=O)Oc1cc2c(cc1)ccc(c2)O,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]Oc1cc2c(cc 1)ccc(c2)O[>][]}",M32
121,121,no,solid,no,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"2-Butyne-1,4-diol",OCC#CCO,C(=O)c1ccc(cc1)C(=O)OCC#CCO,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OCC#CCO [>][]}",M32
122,122,no,solid,no,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],Bisphenol A,Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,C(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]Oc1ccc(cc1
)C(C)(C)c2ccc(cc2)O[>][]}",M32
123,123,no,solid,no,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"4,4'-
Dihydroxydiphenylmethane",Oc1ccc(cc1)Cc2ccc(cc2)O,C(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)Cc2ccc(cc2)O,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]Oc1ccc(cc1
)Cc2ccc(cc2)O[>][]}",M32
124,124,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],Bis(4-hydroxyphenyl) Sulfone,Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O,C(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]Oc1ccc(cc1
)S(=O)(=O)c2ccc(cc2)O[>][]}",M32
125,125,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"4,4_-Thiodiphenol",Oc1ccc(cc1)Sc2ccc(cc2)O,C(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)Sc2ccc(cc2)O,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]Oc1ccc(cc1)Sc2ccc(cc2)O[>][]}",M32
126,126,yes,crystalline,no,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],Guaiacol glyceryl ether,OCC(COC(CCCC1)C1OC)O,C(=O)c1ccc(cc1)C(=O)OCC(COC(CCCC1)C1OC)O,5.57,6.44,1.16,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OCC(COC( CCCC1)C1OC)O[>][]}",M32
127,127,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"2,2_-
Thiodiethanol",OCCSCCO,C(=O)c1ccc(cc1)C(=O)OCCSCCO,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OCCSCCO [>][]}",M32
128,128,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"1,4-dithiane-2,5- diol",OC(CS1)SCC1O,C(=O)c1ccc(cc1)C(=O)OC(CS1)SCC1O,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OC(CS1)S CC1O[>][]}",M32
129,129,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"1,2:5,6-Dianhydro-d-glucitol",OC(C1CO1)C(C2CO2)O,C(=O)c1ccc(cc1)C(=O)OC(C1CO1)C(C2CO2)O,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OC(C1CO1
)C(C2CO2)O[>][]}",M32
130,130,no,solid,yes,Malonyl Chloride,[Cl]C(=O)CC(=O)[Cl],"4,4_-Thiodiphenol",Oc1ccc(cc1)Sc2ccc(cc2)O,C(=O)CC(=O)Oc1ccc(cc1)Sc2ccc(cc2)O,,,,1:01,"{[][<]C(=O)CC(=O)[<],[>]Oc1ccc(cc1)Sc2ccc( cc2)O[>][]}",M32
131,131,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"cis-2-Butene-1,4- diol",OC/C=C\CO,C(=O)c1ccc(cc1)C(=O)OC/C=C/CO,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OC/C=C/C O[>][]}",M32
132,132,yes,fluid,no,Sebacoyl Chloride,[Cl]C(=O)CCCCCCCCC(=O)[Cl],"4,4' - Cycloehexylidenebisphenol","Oc1ccc(C2(c3ccc(O)cc3)CCCCC2)cc1

",Oc1ccc(C2(c3ccc(OC(=O)CCCCCCCCC(=O))cc3)CCCCC2)cc1,,,,1:01,"{[][<]C(=O)CCCCCCCCC(=O)[<],[>]Oc1ccc(c c1)C2(CCCCC2)c3cc(cc3)O[>][]}",M32
133,133,yes,crystalline,yes,Sebacoyl Chloride,[Cl]C(=O)CCCCCCCCC(=O)[Cl],"(R)-(+)-1,1_-
Binaphthyl-2,2_- diol",Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O,C(=O)CCCCCCCCC(=O)Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O,0.91,1.36,1.48,1:01,"{[][<]C(=O)CCCCCCCCC(=O)[<],[>]Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O[>][]}",M32
134,134,no,fluid,no,Sebacoyl Chloride,[Cl]C(=O)CCCCCCCCC(=O)[Cl],"4,4_-Sulfonylbis(2-methylphenol)",Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O,"C(=O)CCCCCCCCC(=O)Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O
c(cc1)S(=O)(=O)c2ccc(c(C)c2)O",4.44,4.67,1.05,1:01,"{[][<]C(=O)CCCCCCCCC(=O)[<],[>]Oc1c(C)c
c(cc1)S(=O)(=O)c2ccc(c(C)c2)O[>][]}",M32
